metric,url,site1,site2,function,result,document1,document2
SINGLE SITE,HTTP://WFEXPRESS/CUSTSIGNIN,,,,1,,
PERCENT SIMILAR,HTTP://WF.COM/WS1A,SITEA,SITEB,WEB,36.8421052631579,WEBMEM256CPU2 WEBMEM256CPU2 WEBMEM256CPU2 WEBMEM256CPU2 WEBMEM256CPU2 WEBMEM256CPU2 WEBMEM256CPU2 WEBMEM256CPU2 WEBMEM256CPU2 WEBMEM256CPU2 WEBMEM256CPU2 WEBMEM256CPU2 WEBMEM256CPU2 WEBMEM256CPU2 WEBMEM256CPU2 WEBMEM256CPU2 WEBMEM256CPU2 WEBMEM256CPU2 WEBMEM256CPU2,WEBMEM256CPU2 WEBMEM256CPU2 WEBMEM256CPU2 WEBMEM256CPU2 WEBMEM256CPU2 WEBMEM256CPU2 WEBMEM256CPU2
PERCENT SIMILAR,HTTP://WF.COM/WS1A,SITEA,SITEB,APP,60,APPMEM128CPU4 APPMEM128CPU4 APPMEM64CPU1 APPMEM128CPU4,APPMEM128CPU4 APPMEM128CPU4 APPMEM128CPU4 APPMEM128CPU4
PERCENT SIMILAR,HTTP://WF.COM/WS1A,SITEA,SITEB,DB,50,DBMEM512CPU8 DBMEM512CPU8,DBMEM512CPU8
PERCENT SIMILAR,HTTP://WF.COM/WS222Z,SITEC,SITED,WEB,100,WEBMEM64CPU2 WEBMEM64CPU2,WEBMEM64CPU2 WEBMEM64CPU2
PERCENT SIMILAR,HTTP://WF.COM/WS222Z,SITEC,SITED,APP,100,APPMEM64CPU2 APPMEM64CPU2 APPMEM64CPU2 APPMEM64CPU2,APPMEM64CPU2 APPMEM64CPU2 APPMEM64CPU2 APPMEM64CPU2
PERCENT SIMILAR,HTTP://WF.COM/WS222Z,SITEC,SITED,DB,100,DBMEM128CPU4 DBMEM128CPU4,DBMEM128CPU4 DBMEM128CPU4
PERCENT SIMILAR,HTTP://WF.COM/WS222Z,SITEC,SITEE,WEB,100,WEBMEM64CPU2 WEBMEM64CPU2,WEBMEM64CPU2 WEBMEM64CPU2
PERCENT SIMILAR,HTTP://WF.COM/WS222Z,SITEC,SITEE,APP,100,APPMEM64CPU2 APPMEM64CPU2 APPMEM64CPU2 APPMEM64CPU2,APPMEM64CPU2 APPMEM64CPU2 APPMEM64CPU2 APPMEM64CPU2
PERCENT SIMILAR,HTTP://WF.COM/WS222Z,SITEC,SITEE,DB,100,DBMEM128CPU4 DBMEM128CPU4,DBMEM128CPU4 DBMEM128CPU4
PERCENT SIMILAR,HTTP://WF.COM/WS222Z,SITED,SITEE,WEB,100,WEBMEM64CPU2 WEBMEM64CPU2,WEBMEM64CPU2 WEBMEM64CPU2
PERCENT SIMILAR,HTTP://WF.COM/WS222Z,SITED,SITEE,APP,100,APPMEM64CPU2 APPMEM64CPU2 APPMEM64CPU2 APPMEM64CPU2,APPMEM64CPU2 APPMEM64CPU2 APPMEM64CPU2 APPMEM64CPU2
PERCENT SIMILAR,HTTP://WF.COM/WS222Z,SITED,SITEE,DB,100,DBMEM128CPU4 DBMEM128CPU4,DBMEM128CPU4 DBMEM128CPU4
PERCENT SIMILAR,HTTP://WF.COM/WS3PXSS,SITEA,SITEB,WEB,25,WEBMEM8CPU1 WEBMEM4CPU1 WEBMEM16CPU2,WEBMEM8CPU1 WEBMEM8CPU1
PERCENT SIMILAR,HTTP://WF.COM/WS3PXSS,SITEA,SITEB,APP,40,APPMEM32CPU4 APPMEM32CPU4 APPMEM8CPU1 APPMEM16CPU2 APPMEM8CPU1,APPMEM32CPU4 APPMEM32CPU4
PERCENT SIMILAR,HTTP://WF.COM/WS3PXSS,SITEA,SITEB,DB,0,,DBMEM16CPU2
PERCENT SIMILAR,HTTP://WFBANKING/,SITEF,SITEG,WEB,100,WEBMEM8CPU1 WEBMEM8CPU1 WEBMEM8CPU1 WEBMEM8CPU1,WEBMEM8CPU1 WEBMEM8CPU1 WEBMEM8CPU1 WEBMEM8CPU1
PERCENT SIMILAR,HTTP://WFBANKING/,SITEF,SITEG,APP,100,APPMEM16CPU2 APPMEM16CPU2 APPMEM16CPU2 APPMEM16CPU2,APPMEM16CPU2 APPMEM16CPU2 APPMEM16CPU2 APPMEM16CPU2
PERCENT SIMILAR,HTTP://WFBANKING/,SITEF,SITEG,DB,0,DBMEM32CPU4,
PERCENT SIMILAR,HTTP://WFMORTGAGE/,SITEF,SITEG,WEB,100,WEBMEM8CPU1 WEBMEM8CPU1 WEBMEM8CPU1 WEBMEM8CPU1,WEBMEM8CPU1 WEBMEM8CPU1 WEBMEM8CPU1 WEBMEM8CPU1
PERCENT SIMILAR,HTTP://WFMORTGAGE/,SITEF,SITEG,APP,100,APPMEM16CPU2 APPMEM16CPU2 APPMEM16CPU2 APPMEM16CPU2,APPMEM16CPU2 APPMEM16CPU2 APPMEM16CPU2 APPMEM16CPU2
PERCENT SIMILAR,HTTP://WFMORTGAGE/,SITEF,SITEG,DB,0,DBMEM32CPU4,
PERCENT SIMILAR,HTTP://WFMORTGAGE/,SITEF,SITEH,WEB,0,WEBMEM8CPU1 WEBMEM8CPU1 WEBMEM8CPU1 WEBMEM8CPU1,
PERCENT SIMILAR,HTTP://WFMORTGAGE/,SITEF,SITEH,APP,0,APPMEM16CPU2 APPMEM16CPU2 APPMEM16CPU2 APPMEM16CPU2,
PERCENT SIMILAR,HTTP://WFMORTGAGE/,SITEF,SITEH,DB,100,DBMEM32CPU4,DBMEM32CPU4
PERCENT SIMILAR,HTTP://WFMORTGAGE/,SITEG,SITEH,WEB,0,WEBMEM8CPU1 WEBMEM8CPU1 WEBMEM8CPU1 WEBMEM8CPU1,
PERCENT SIMILAR,HTTP://WFMORTGAGE/,SITEG,SITEH,APP,0,APPMEM16CPU2 APPMEM16CPU2 APPMEM16CPU2 APPMEM16CPU2,
PERCENT SIMILAR,HTTP://WFMORTGAGE/,SITEG,SITEH,DB,0,,DBMEM32CPU4
